year,ADV,EMR
1960,12610,813
1961,12944,804
1962,13508,818
1963,14050,835
1964,14767,877
1965,15402,911
1966,16138,933
1967,16669,938
1968,17493,999
1969,18256,1053
1970,18448,1133
1971,18916,1183
1972,19740,1233
1973,20761,1298
1974,20742,1355
1975,20572,1384
1976,21417,1450
1977,22085,1491
1978,22894,1501
1979,23601,1550
1980,23963,1602
1981,24239,1587
1982,24160,1561
1983,24776,1536
1984,25821,1548
1985,26639,1571
1986,27348,1599
1987,28160,1654
1988,29320,1685
1989,30264,1935
1990,30692,2014
1991,30856,2024
1992,31111,2030
1993,31269,2059
1994,32061,2093
1995,32419,2145
1996,33178,2223
1997,34015,2298
1998,34770,2323
1999,35779,2371
2000,36992,2478
2001,37314,2529
2002,37661,2596
2003,38207,2715
2004,39194,2883
2005,40053,3045
2006,40987,3246
2007,41791,3473
2008,41586,3626
2009,39968,3676
2010,40888,3901
2011,41440,4093
2012,41756,4249
2013,42138,4403
2014,42784,4553
2015,43613,4690
2016,44161,4841
2017,45032,5011
2018,45888,5181
2019,46524,5334
2020,44271,5197