iso,overshoot_350
AFG,-2466906011
AGO,-1545039078
ALB,-118209543
ARM,-229448127
BDI,-813072856
BEN,-701124978
BFA,-1425418995
BGD,-14405378128
BOL,-655952225
BRA,-3677950214
BTN,-38196258
CAF,-408949859
CHN,-28037013504
CIV,-1231897831
CMR,-1411905794
COD,-5055515114
COG,-299208814
COL,-904520900
COM,-34877037
CPV,-40230202
CRI,-35268093
DJI,-14315987
DMA,-10388099
DOM,-105038269
DZA,-2030675756
ECU,-321754821
EGY,-2194215205
ERI,-351155119
ETH,-6851448744
FJI,-35059486
GAB,-29878160
GEO,-281518481
GHA,-1570725325
GIN,-971101817
GMB,-110050698
GNB,-120687078
GNQ,-39709604
GRD,-16744539
GTM,-752784786
HND,-357685417
HTI,-940236015
IDN,-14230169037
IND,-89243733580
KEN,-2255010063
KGZ,-107164630
KHM,-1757858116
KIR,-8000887
KNA,-9782290
LAO,-726950220
LBR,-324974737
LCA,-14636014
LKA,-1887486616
LSO,-196749335
MAR,-1917536561
MDA,-40713266
MDG,-1655163956
MDV,-8867978
MHL,-2670770
MLI,-1438066165
MMR,-5181403873
MNE,-73236502
MOZ,-2059602926
MRT,-235457499
MUS,-22974265
MWI,-1012699986
NER,-1180001137
NGA,-11131370826
NIC,-335535672
NPL,-2801149702
PAK,-10547608539
PER,-925572266
PHL,-4647590177
PLW,-760054
PNG,-511429910
PRY,-273000575
PYF,-3741436
RWA,-883311080
SDN,-1517116814
SEN,-876085570
SLB,-22788214
SLE,-637379948
SLV,-387683781
SMR,-1309329
SOM,-978607473
SSD,-593650546
STP,-13638115
SWZ,-9532782
SYR,-175971923
TCD,-911709898
TGO,-496231190
THA,-1376833594
TJK,-429343614
TLS,-120380227
TON,-8184394
TUN,-314474245
TUV,-1175417
TWN,-878663091
TZA,-3176972546
UGA,-2231146537
URY,-38671571
VAT,-105879
VCT,-13750632
VNM,-6370107432
VUT,-11351377
WSM,-15523140
YEM,-1317680714
ZMB,-593687081
ZWE,-615405367